DATE,STATION_NUMBER,DISCHARGE
2009-05-19,05DA009,21.200000762939453
2009-05-20,05DA009,22.0
2009-05-21,05DA009,19.299999237060547
2009-05-22,05DA009,17.700000762939453
2009-05-23,05DA009,18.100000381469727
2009-05-24,05DA009,22.600000381469727
2009-05-25,05DA009,30.799999237060547
2009-05-26,05DA009,42.0
2009-05-27,05DA009,47.79999923706055
2009-05-28,05DA009,44.5
2009-05-29,05DA009,47.09999847412109
2009-05-30,05DA009,75.0999984741211
2009-05-31,05DA009,101.0
2009-06-01,05DA009,91.0
2009-06-02,05DA009,81.0999984741211
2009-06-03,05DA009,84.19999694824219
2009-06-04,05DA009,100.0
2009-06-05,05DA009,121.0
2009-06-06,05DA009,118.0
2009-06-07,05DA009,89.9000015258789
2009-06-08,05DA009,70.4000015258789
2009-06-09,05DA009,60.09999847412109
2009-06-10,05DA009,58.400001525878906
2009-06-11,05DA009,67.0999984741211
2009-06-12,05DA009,91.4000015258789
2009-06-13,05DA009,116.0
2009-06-14,05DA009,144.0
2009-06-15,05DA009,162.0
2009-06-16,05DA009,174.0
2009-06-17,05DA009,187.0
2009-06-18,05DA009,170.0
2009-06-19,05DA009,158.0
2009-06-20,05DA009,147.0
2009-06-21,05DA009,145.0
2009-06-22,05DA009,134.0
2009-06-23,05DA009,127.0
2009-06-24,05DA009,110.0
2009-06-25,05DA009,120.0
2009-06-26,05DA009,128.0
2009-06-27,05DA009,106.0
2009-06-28,05DA009,105.0
2009-06-29,05DA009,110.0
2009-06-30,05DA009,100.0
2009-07-01,05DA009,85.4000015258789
2009-07-02,05DA009,80.9000015258789
2009-07-03,05DA009,87.9000015258789
2009-07-04,05DA009,98.5
2009-07-05,05DA009,115.0
2009-07-06,05DA009,138.0
2009-07-07,05DA009,154.0
2009-07-08,05DA009,140.0
2009-07-09,05DA009,117.0
2009-07-10,05DA009,111.0
2009-07-11,05DA009,121.0
2009-07-12,05DA009,138.0
2009-07-13,05DA009,150.0
2009-07-14,05DA009,155.0
2009-07-15,05DA009,158.0
2009-07-16,05DA009,148.0
2009-07-17,05DA009,151.0
2009-07-18,05DA009,168.0
2009-07-19,05DA009,178.0
2009-07-20,05DA009,153.0
2009-07-21,05DA009,146.0
2009-07-22,05DA009,153.0
2009-07-23,05DA009,166.0
2009-07-24,05DA009,178.0
2009-07-25,05DA009,191.0
2009-07-26,05DA009,213.0
2009-07-27,05DA009,211.0
2009-07-28,05DA009,217.0
2009-07-29,05DA009,201.0
2009-07-30,05DA009,189.0
2009-07-31,05DA009,192.0
2009-08-01,05DA009,193.0
2009-08-02,05DA009,207.0
2009-08-03,05DA009,208.0
2009-08-04,05DA009,196.0
2009-08-05,05DA009,160.0
2009-08-06,05DA009,147.0
2009-08-07,05DA009,146.0
2009-08-08,05DA009,144.0
2009-08-09,05DA009,154.0
2009-08-10,05DA009,152.0
2009-08-11,05DA009,175.0
2009-08-12,05DA009,158.0
2009-08-13,05DA009,135.0
2009-08-14,05DA009,118.0
2009-08-15,05DA009,102.0
2009-08-16,05DA009,94.0999984741211
2009-08-17,05DA009,96.0
2009-08-18,05DA009,107.0
2009-08-19,05DA009,115.0
2009-08-20,05DA009,126.0
2009-08-21,05DA009,160.0
